Tanggal;TID;Menu;Qty;Harga;Subtotal
;120R0025;Dimsum Siomay Original;2;25000;50000
;120R0025;Blueberry Cheese;6;65000;390000
2020-01-02;120R0026;Blueberry Cheese;2;65000;130000
;120R0026;Lavarisol Original;6;60000;360000
;120R0026;Nastar Spesial;4;90000;360000
2020-01-02;120R0027;Cookies Hias;4;60000;240000
;120R0027;Lavarisol Triple Cheese;3;60000;180000
;120R0027;Red Velvet;7;90000;630000
;120R0027;Lavarisol Campur;5;60000;300000
2020-01-02;120R0028;Dimsum Siomay Ayam;4;27000;108000
;120R0028;Lavarisol Triple Cheese;4;60000;240000
2020-01-02;120R0029;Nastar Spesial;2;90000;180000
;120R0029;Lavarisol Triple Cheese;3;60000;180000
;120R0029;Pudding Buah;3;100000;300000
;120R0029;Kaastengels;5;85000;425000
2020-01-02;120R0030;Dimsum Siomay Original;1;25000;25000
;120R0030;Lavarisol Triple Cheese;2;60000;120000
;120R0030;Brownies Cookies;3;40000;120000
;120R0030;Sagu Keju;4;75000;300000
2020-01-02;120R0031;Blueberry Cheese;3;65000;195000
;120R0031;Red Velvet;6;90000;540000
;120R0031;Dimsum Siomay Udang Keju;4;32000;128000
2020-01-02;120R0032;Kaastengels;7;85000;595000
;120R0032;Red Velvet;4;90000;360000
;120R0032;Pudding Batik;5;120000;600000
2020-01-03;120R0033;Pudding Batik;1;120000;120000
;120R0033;Cookies Hias;1;60000;60000
;120R0033;Sagu Keju;1;75000;75000
;120R0033;Nastar Spesial;7;90000;630000
2020-01-03;120R0034;Dimsum Siomay Crab;2;27000;54000
;120R0034;Dimsum Siomay Original;7;25000;175000
2020-01-03;120R0035;Red Velvet;6;90000;540000
;120R0035;Pudding Batik;6;120000;720000
;120R0035;Pudding Buah;4;100000;400000
2020-01-03;120R0036;Lidah Kucing;4;70000;280000
;120R0036;Lavarisol Triple Cheese;7;60000;420000
;120R0036;Dimsum Siomay Keju;7;30000;210000
;120R0036;Dimsum Siomay Ayam;7;27000;189000
2020-01-03;120R0037;Brownies Cookies;6;40000;240000
;120R0037;Pudding Buah;7;100000;700000
;120R0037;Blueberry Cheese;6;65000;390000
;120R0037;Lavarisol Original;5;60000;300000
2020-01-03;120R0038;Cookies Hias;7;60000;420000
;120R0038;Sagu Keju;7;75000;525000
;120R0038;Dimsum Siomay Crab;6;27000;162000
2020-01-03;120R0039;Blueberry Cheese;4;65000;260000
;120R0039;Lavarisol Triple Cheese;3;60000;180000
;120R0039;Dimsum Siomay Ayam;3;27000;81000
;120R0039;Putri Salju;5;85000;425000
;120R0039;Dimsum Siomay Keju;1;30000;30000
2020-01-03;120R0040;Dimsum Siomay Crab;3;27000;81000
;120R0040;Brownies Cookies;1;40000;40000
;120R0040;Blueberry Cheese;4;65000;260000
;120R0040;Sagu Keju;6;75000;450000
2020-01-03;120R0041;Dimsum Siomay Udang Keju;2;32000;64000
;120R0041;Red Velvet;2;90000;180000
;120R0041;Lavarisol Campur;7;60000;420000
;120R0041;Blueberry Cheese;3;65000;195000
2020-01-03;120R0042;Red Velvet;1;90000;90000
;120R0042;Dimsum Siomay Original;3;25000;75000
;120R0042;Pudding Buah;5;100000;500000
;120R0042;Kaastengels;1;85000;85000
2020-01-03;120R0043;Blueberry Cheese;7;65000;455000
;120R0043;Sagu Keju;7;75000;525000
;120R0043;Dimsum Siomay Udang Keju;6;32000;192000
2020-01-03;120R0044;Dimsum Siomay Keju;5;30000;150000
;120R0044;Blueberry Cheese;5;65000;325000
;120R0044;Dimsum Siomay Original;2;25000;50000
;120R0044;Dimsum Siomay Ayam;1;27000;27000
2020-01-03;120R0045;Nastar Spesial;1;90000;90000
;120R0045;Dimsum Siomay Original;5;25000;125000
;120R0045;Lavarisol Original;5;60000;300000
;120R0045;Lavarisol Campur;2;60000;120000
;120R0045;Dimsum Siomay Ayam;4;27000;108000
2020-01-03;120R0046;Lavarisol Original;6;60000;360000
;120R0046;Brownies Cookies;2;40000;80000
;120R0046;Dimsum Siomay Original;5;25000;125000
2020-01-04;120R0047;Dimsum Siomay Original;4;25000;100000
;120R0047;Lidah Kucing;2;70000;140000
;120R0047;Brownies Cookies;2;40000;80000
;120R0047;Lavarisol Smoked Beef;3;60000;180000
;120R0047;Nastar Spesial;4;90000;360000
2020-01-04;120R0048;Nastar Spesial;7;90000;630000
;120R0048;Lavarisol Smoked Beef;5;60000;300000
;120R0048;Red Velvet;7;90000;630000
;120R0048;Putri Salju;3;85000;255000
2020-01-04;120R0049;Lidah Kucing;4;70000;280000
;120R0049;Dimsum Siomay Keju;6;30000;180000
;120R0049;Lavarisol Triple Cheese;7;60000;420000
;120R0049;Sagu Keju;6;75000;450000
2020-01-04;120R0050;Pudding Buah;6;100000;600000
;120R0050;Sagu Keju;2;75000;150000
;120R0050;Red Velvet;7;90000;630000
2020-01-04;120R0051;Lavarisol Triple Cheese;5;60000;300000
;120R0051;Brownies Cookies;4;40000;160000
;120R0051;Lavarisol Smoked Beef;3;60000;180000
2020-01-04;120R0052;Blueberry Cheese;1;65000;65000
;120R0052;Dimsum Siomay Udang Keju;3;32000;96000
;120R0052;Lidah Kucing;5;70000;350000
;120R0052;Dimsum Siomay Original;5;25000;125000
2020-01-04;120R0053;Kaastengels;2;85000;170000
;120R0053;Dimsum Siomay Ayam;7;27000;189000
;120R0053;Lavarisol Triple Cheese;3;60000;180000
2020-01-04;120R0054;Cookies Hias;2;60000;120000
;120R0054;Pudding Buah;2;100000;200000
;120R0054;Dimsum Siomay Crab;1;27000;27000
;120R0054;Dimsum Siomay Ayam;6;27000;162000
2020-01-04;120R0055;Lidah Kucing;2;70000;140000
;120R0055;Dimsum Siomay Udang Keju;5;32000;160000
;120R0055;Lavarisol Triple Cheese;3;60000;180000
;120R0055;Nastar Spesial;3;90000;270000
;120R0055;Dimsum Siomay Original;3;25000;75000
2020-01-04;120R0056;Brownies Cookies;3;40000;120000
;120R0056;Dimsum Siomay Original;4;25000;100000
;120R0056;Dimsum Siomay Ayam;7;27000;189000
2020-01-04;120R0057;Pudding Buah;6;100000;600000
;120R0057;Dimsum Siomay Crab;2;27000;54000
;120R0057;Red Velvet;6;90000;540000
;120R0057;Dimsum Siomay Original;5;25000;125000
2020-01-04;120R0058;Kaastengels;4;85000;340000
;120R0058;Putri Salju;4;85000;340000
;120R0058;Dimsum Siomay Crab;3;27000;81000
;120R0058;Red Velvet;4;90000;360000
2020-01-04;120R0059;Nastar Spesial;2;90000;180000
;120R0059;Dimsum Siomay Udang Keju;2;32000;64000
;120R0059;Putri Salju;5;85000;425000
2020-01-04;120R0060;Sagu Keju;7;75000;525000
;120R0060;Lavarisol Triple Cheese;7;60000;420000
;120R0060;Kaastengels;2;85000;170000
;120R0060;Dimsum Siomay Ayam;5;27000;135000
2020-01-04;120R0061;Pudding Buah;4;100000;400000
;120R0061;Pudding Batik;1;120000;120000
;120R0061;Lavarisol Campur;1;60000;60000
;120R0061;Brownies Cookies;6;40000;240000
;120R0061;Cookies Hias;7;60000;420000
2020-01-04;120R0062;Dimsum Siomay Ayam;1;27000;27000
;120R0062;Dimsum Siomay Crab;3;27000;81000
;120R0062;Lavarisol Triple Cheese;4;60000;240000
2020-01-05;120R0063;Pudding Batik;1;120000;120000
;120R0063;Red Velvet;7;90000;630000
;120R0063;Dimsum Siomay Udang Keju;6;32000;192000
2020-01-05;120R0064;Sagu Keju;4;75000;300000
;120R0064;Pudding Buah;4;100000;400000
;120R0064;Blueberry Cheese;7;65000;455000
2020-01-05;120R0065;Cookies Hias;6;60000;360000
;120R0065;Pudding Buah;3;100000;300000
;120R0065;Putri Salju;4;85000;340000
2020-01-05;120R0066;Sagu Keju;1;75000;75000
;120R0066;Dimsum Siomay Original;4;25000;100000
;120R0066;Cookies Hias;3;60000;180000
2020-01-05;120R0067;Lavarisol Smoked Beef;7;60000;420000
;120R0067;Dimsum Siomay Ayam;3;27000;81000
;120R0067;Nastar Spesial;1;90000;90000
;120R0067;Pudding Batik;3;120000;360000
;120R0067;Red Velvet;3;90000;270000
2020-01-05;120R0068;Red Velvet;4;90000;360000
;120R0068;Cookies Hias;4;60000;240000
;120R0068;Blueberry Cheese;1;65000;65000
2020-01-05;120R0069;Dimsum Siomay Ayam;3;27000;81000
;120R0069;Brownies Cookies;7;40000;280000
;120R0069;Blueberry Cheese;6;65000;390000
2020-01-05;120R0070;Blueberry Cheese;7;65000;455000
;120R0070;Dimsum Siomay Udang Keju;2;32000;64000
;120R0070;Red Velvet;7;90000;630000
;120R0070;Cookies Hias;7;60000;420000
;120R0070;Lidah Kucing;5;70000;350000
2020-01-05;120R0071;Lidah Kucing;1;70000;70000
;120R0071;Dimsum Siomay Keju;7;30000;210000
;120R0071;Red Velvet;3;90000;270000
2020-01-05;120R0072;Dimsum Siomay Ayam;3;27000;81000
;120R0072;Dimsum Siomay Udang Keju;5;32000;160000
;120R0072;Sagu Keju;4;75000;300000
;120R0072;Putri Salju;7;85000;595000
2020-01-05;120R0073;Kaastengels;6;85000;510000
;120R0073;Lavarisol Original;1;60000;60000
;120R0073;Pudding Buah;6;100000;600000
2020-01-05;120R0074;Kaastengels;2;85000;170000
;120R0074;Brownies Cookies;5;40000;200000
;120R0074;Sagu Keju;4;75000;300000
;120R0074;Pudding Buah;2;100000;200000
2020-01-05;120R0075;Nastar Spesial;6;90000;540000
;120R0075;Cookies Hias;5;60000;300000
;120R0075;Lidah Kucing;7;70000;490000
;120R0075;Lavarisol Smoked Beef;1;60000;60000
;120R0075;Dimsum Siomay Original;7;25000;175000
2020-01-06;120R0076;Putri Salju;7;85000;595000
;120R0076;Sagu Keju;7;75000;525000
;120R0076;Pudding Batik;6;120000;720000
;120R0076;Dimsum Siomay Crab;2;27000;54000
2020-01-06;120R0077;Lavarisol Campur;6;60000;360000
;120R0077;Dimsum Siomay Original;2;25000;50000
;120R0077;Dimsum Siomay Ayam;4;27000;108000
;120R0077;Dimsum Siomay Udang Keju;4;32000;128000
2020-01-06;120R0078;Lidah Kucing;7;70000;490000
;120R0078;Lavarisol Original;3;60000;180000
;120R0078;Dimsum Siomay Ayam;5;27000;135000
2020-01-06;120R0079;Blueberry Cheese;1;65000;65000
;120R0079;Lavarisol Campur;1;60000;60000
;120R0079;Nastar Spesial;5;90000;450000
;120R0079;Lidah Kucing;4;70000;280000
2020-01-06;120R0080;Pudding Batik;4;120000;480000
;120R0080;Nastar Spesial;6;90000;540000
;120R0080;Blueberry Cheese;4;65000;260000
2020-01-06;120R0081;Nastar Spesial;2;90000;180000
;120R0081;Dimsum Siomay Crab;5;27000;135000
;120R0081;Cookies Hias;7;60000;420000
2020-01-06;120R0082;Nastar Spesial;6;90000;540000
;120R0082;Lavarisol Smoked Beef;7;60000;420000
;120R0082;Blueberry Cheese;7;65000;455000
;120R0082;Lavarisol Campur;1;60000;60000
2020-01-06;120R0083;Lavarisol Campur;1;60000;60000
;120R0083;Cookies Hias;5;60000;300000
;120R0083;Brownies Cookies;6;40000;240000
2020-01-06;120R0084;Kaastengels;2;85000;170000
;120R0084;Nastar Spesial;2;90000;180000
;120R0084;Pudding Buah;3;100000;300000
;120R0084;Dimsum Siomay Ayam;2;27000;54000
2020-01-06;120R0085;Brownies Cookies;6;40000;240000
;120R0085;Lavarisol Original;6;60000;360000
;120R0085;Kaastengels;7;85000;595000
;120R0085;Dimsum Siomay Keju;1;30000;30000
2020-01-06;120R0086;Blueberry Cheese;3;65000;195000
;120R0086;Lidah Kucing;3;70000;210000
;120R0086;Kaastengels;4;85000;340000
2020-01-06;120R0087;Cookies Hias;3;60000;180000
;120R0087;Dimsum Siomay Ayam;7;27000;189000
;120R0087;Pudding Buah;4;100000;400000
;120R0087;Dimsum Siomay Keju;2;30000;60000
2020-01-06;120R0088;Lidah Kucing;6;70000;420000
;120R0088;Dimsum Siomay Crab;6;27000;162000
;120R0088;Nastar Spesial;6;90000;540000
;120R0088;Dimsum Siomay Ayam;3;27000;81000
2020-01-06;120R0089;Putri Salju;7;85000;595000
;120R0089;Cookies Hias;6;60000;360000
;120R0089;Dimsum Siomay Ayam;5;27000;135000
2020-01-06;120R0090;Kaastengels;5;85000;425000
;120R0090;Dimsum Siomay Keju;2;30000;60000
;120R0090;Lavarisol Triple Cheese;7;60000;420000
;120R0090;Putri Salju;2;85000;170000
;120R0090;Blueberry Cheese;6;65000;390000
2020-01-07;120R0091;Sagu Keju;4;75000;300000
;120R0091;Cookies Hias;4;60000;240000
;120R0091;Dimsum Siomay Original;7;25000;175000
2020-01-07;120R0092;Sagu Keju;5;75000;375000
;120R0092;Lavarisol Triple Cheese;4;60000;240000
;120R0092;Brownies Cookies;3;40000;120000
2020-01-07;120R0093;Sagu Keju;1;75000;75000
;120R0093;Lavarisol Triple Cheese;7;60000;420000
;120R0093;Pudding Buah;5;100000;500000
2020-01-07;120R0094;Lavarisol Triple Cheese;2;60000;120000
;120R0094;Lavarisol Original;1;60000;60000
;120R0094;Dimsum Siomay Udang Keju;3;32000;96000
;120R0094;Dimsum Siomay Keju;5;30000;150000
;120R0094;Dimsum Siomay Ayam;4;27000;108000
2020-01-07;120R0095;Pudding Buah;1;100000;100000
;120R0095;Putri Salju;6;85000;510000
;120R0095;Lidah Kucing;1;70000;70000
;120R0095;Sagu Keju;3;75000;225000
2020-01-07;120R0096;Dimsum Siomay Keju;6;30000;180000
;120R0096;Nastar Spesial;2;90000;180000
;120R0096;Dimsum Siomay Ayam;5;27000;135000
2020-01-07;120R0097;Lidah Kucing;2;70000;140000
;120R0097;Dimsum Siomay Udang Keju;4;32000;128000
;120R0097;Nastar Spesial;1;90000;90000
;120R0097;Blueberry Cheese;5;65000;325000
2020-01-07;120R0098;Kaastengels;7;85000;595000
;120R0098;Dimsum Siomay Ayam;4;27000;108000
;120R0098;Putri Salju;7;85000;595000
;120R0098;Lavarisol Original;7;60000;420000
2020-01-07;120R0099;Lavarisol Campur;4;60000;240000
;120R0099;Lavarisol Original;1;60000;60000
;120R0099;Kaastengels;1;85000;85000
2020-01-07;120R0100;Kaastengels;1;85000;85000
;120R0100;Cookies Hias;4;60000;240000
;120R0100;Dimsum Siomay Original;4;25000;100000
2020-01-07;120R0101;Kaastengels;5;85000;425000
;120R0101;Lavarisol Original;3;60000;180000
;120R0101;Lavarisol Triple Cheese;7;60000;420000
;120R0101;Lavarisol Campur;6;60000;360000
2020-01-07;120R0102;Kaastengels;4;85000;340000
;120R0102;Brownies Cookies;1;40000;40000
;120R0102;Putri Salju;5;85000;425000
2020-01-07;120R0103;Kaastengels;3;85000;255000
;120R0103;Brownies Cookies;6;40000;240000
;120R0103;Blueberry Cheese;3;65000;195000
;120R0103;Lavarisol Campur;3;60000;180000
2020-01-07;120R0104;Putri Salju;3;85000;255000
;120R0104;Pudding Buah;6;100000;600000
;120R0104;Brownies Cookies;5;40000;200000
2020-01-07;120R0105;Dimsum Siomay Crab;3;27000;81000
;120R0105;Lavarisol Original;2;60000;120000
;120R0105;Pudding Batik;4;120000;480000
2020-01-07;120R0106;Dimsum Siomay Crab;2;27000;54000
;120R0106;Lavarisol Smoked Beef;5;60000;300000
;120R0106;Sagu Keju;5;75000;375000
;120R0106;Kaastengels;3;85000;255000
;120R0106;Dimsum Siomay Keju;7;30000;210000
2020-01-08;120R0107;Cookies Hias;7;60000;420000
;120R0107;Lavarisol Original;6;60000;360000
;120R0107;Sagu Keju;3;75000;225000
2020-01-08;120R0108;Dimsum Siomay Original;4;25000;100000
;120R0108;Lidah Kucing;6;70000;420000
;120R0108;Kaastengels;2;85000;170000
2020-01-08;120R0109;Dimsum Siomay Udang Keju;1;32000;32000
;120R0109;Lavarisol Original;5;60000;300000
;120R0109;Blueberry Cheese;4;65000;260000
;120R0109;Sagu Keju;7;75000;525000
;120R0109;Lavarisol Campur;7;60000;420000
2020-01-08;120R0110;Lavarisol Smoked Beef;4;60000;240000
;120R0110;Blueberry Cheese;7;65000;455000
;120R0110;Dimsum Siomay Original;4;25000;100000
2020-01-08;120R0111;Sagu Keju;5;75000;375000
;120R0111;Putri Salju;1;85000;85000
;120R0111;Dimsum Siomay Udang Keju;2;32000;64000
;120R0111;Lavarisol Smoked Beef;7;60000;420000
;120R0111;Lavarisol Original;7;60000;420000
2020-01-08;120R0112;Blueberry Cheese;3;65000;195000
;120R0112;Pudding Batik;4;120000;480000
;120R0112;Sagu Keju;2;75000;150000
2020-01-08;120R0113;Pudding Buah;1;100000;100000
;120R0113;Blueberry Cheese;2;65000;130000
2020-01-08;120R0114;Blueberry Cheese;5;65000;325000
2020-01-08;120R0115;Dimsum Siomay Keju;2;30000;60000
;120R0115;Cookies Hias;1;60000;60000
;120R0115;Lavarisol Campur;7;60000;420000
2020-01-08;120R0116;Cookies Hias;3;60000;180000
;120R0116;Blueberry Cheese;5;65000;325000
;120R0116;Pudding Batik;7;120000;840000
2020-01-08;120R0117;Cookies Hias;3;60000;180000
;120R0117;Red Velvet;4;90000;360000
2020-01-08;120R0118;Cookies Hias;7;60000;420000
;120R0118;Lavarisol Triple Cheese;6;60000;360000
;120R0118;Pudding Batik;4;120000;480000
;120R0118;Dimsum Siomay Original;4;25000;100000
;120R0118;Dimsum Siomay Udang Keju;5;32000;160000
2020-01-08;120R0119;Nastar Spesial;6;90000;540000
;120R0119;Lavarisol Triple Cheese;5;60000;300000
;120R0119;Dimsum Siomay Original;5;25000;125000
2020-01-08;120R0120;Nastar Spesial;7;90000;630000
2020-01-08;120R0121;Pudding Buah;3;100000;300000
;120R0121;Cookies Hias;7;60000;420000
;120R0121;Sagu Keju;7;75000;525000
2020-01-08;120R0122;Dimsum Siomay Keju;4;30000;120000
;120R0122;Lidah Kucing;7;70000;490000
;120R0122;Lavarisol Smoked Beef;1;60000;60000
;120R0122;Dimsum Siomay Udang Keju;1;32000;32000
;120R0122;Pudding Buah;4;100000;400000
2020-01-08;120R0123;Kaastengels;2;85000;170000
;120R0123;Putri Salju;7;85000;595000
;120R0123;Dimsum Siomay Original;2;25000;50000
2020-01-08;120R0124;Dimsum Siomay Original;2;25000;50000
2020-01-08;120R0125;Red Velvet;6;90000;540000
;120R0125;Dimsum Siomay Original;6;25000;150000
2020-01-08;120R0126;Lidah Kucing;6;70000;420000
;120R0126;Nastar Spesial;3;90000;270000
;120R0126;Dimsum Siomay Udang Keju;2;32000;64000
2020-01-08;120R0127;Cookies Hias;4;60000;240000
;120R0127;Blueberry Cheese;6;65000;390000
;120R0127;Lavarisol Campur;2;60000;120000
2020-01-08;120R0128;Pudding Buah;6;100000;600000
;120R0128;Lidah Kucing;7;70000;490000
2020-01-08;120R0129;Lidah Kucing;6;70000;420000
;120R0129;Lavarisol Triple Cheese;5;60000;300000
;120R0129;Kaastengels;1;85000;85000
2020-01-08;120R0130;Dimsum Siomay Ayam;5;27000;135000
;120R0130;Brownies Cookies;4;40000;160000
;120R0130;Cookies Hias;7;60000;420000
2020-01-09;120R0131;Cookies Hias;2;60000;120000
;120R0131;Lavarisol Triple Cheese;5;60000;300000
;120R0131;Pudding Buah;3;100000;300000
;120R0131;Blueberry Cheese;2;65000;130000
2020-01-09;120R0132;Brownies Cookies;4;40000;160000
;120R0132;Pudding Buah;5;100000;500000
;120R0132;Pudding Batik;3;120000;360000
;120R0132;Dimsum Siomay Crab;2;27000;54000
;120R0132;Dimsum Siomay Udang Keju;2;32000;64000
2020-01-09;120R0133;Nastar Spesial;5;90000;450000
;120R0133;Lavarisol Triple Cheese;6;60000;360000
;120R0133;Lidah Kucing;6;70000;420000
;120R0133;Red Velvet;1;90000;90000
2020-01-09;120R0134;Nastar Spesial;1;90000;90000
;120R0134;Sagu Keju;3;75000;225000
2020-01-09;120R0135;Sagu Keju;4;75000;300000
;120R0135;Lavarisol Campur;7;60000;420000
;120R0135;Lavarisol Smoked Beef;4;60000;240000
;120R0135;Cookies Hias;1;60000;60000
2020-01-09;120R0136;Cookies Hias;3;60000;180000
;120R0136;Lidah Kucing;5;70000;350000
2020-01-09;120R0137;Lidah Kucing;2;70000;140000
;120R0137;Dimsum Siomay Keju;7;30000;210000
;120R0137;Lavarisol Smoked Beef;7;60000;420000
;120R0137;Putri Salju;1;85000;85000
;120R0137;Cookies Hias;4;60000;240000
2020-01-09;120R0138;Brownies Cookies;5;40000;200000
;120R0138;Dimsum Siomay Udang Keju;2;32000;64000
;120R0138;Sagu Keju;3;75000;225000
2020-01-09;120R0139;Lavarisol Original;4;60000;240000
2020-01-09;120R0140;Lavarisol Original;1;60000;60000
;120R0140;Blueberry Cheese;3;65000;195000
;120R0140;Nastar Spesial;2;90000;180000
;120R0140;Lidah Kucing;7;70000;490000
2020-01-09;120R0141;Red Velvet;2;90000;180000
;120R0141;Dimsum Siomay Ayam;4;27000;108000
;120R0141;Lavarisol Original;1;60000;60000
;120R0141;Dimsum Siomay Keju;4;30000;120000
2020-01-09;120R0142;Putri Salju;4;85000;340000
;120R0142;Lavarisol Smoked Beef;6;60000;360000
;120R0142;Lidah Kucing;1;70000;70000
2020-01-09;120R0143;Lidah Kucing;1;70000;70000
;120R0143;Kaastengels;1;85000;85000
;120R0143;Lavarisol Campur;4;60000;240000
;120R0143;Putri Salju;1;85000;85000
2020-01-09;120R0144;Dimsum Siomay Udang Keju;7;32000;224000
;120R0144;Lavarisol Smoked Beef;4;60000;240000
;120R0144;Dimsum Siomay Keju;5;30000;150000
;120R0144;Lidah Kucing;7;70000;490000
2020-01-09;120R0145;Nastar Spesial;4;90000;360000
;120R0145;Pudding Buah;5;100000;500000
;120R0145;Brownies Cookies;4;40000;160000
2020-01-09;120R0146;Red Velvet;1;90000;90000
;120R0146;Dimsum Siomay Udang Keju;2;32000;64000
;120R0146;Pudding Buah;2;100000;200000
2020-01-09;120R0147;Lavarisol Campur;1;60000;60000
;120R0147;Kaastengels;5;85000;425000
;120R0147;Sagu Keju;3;75000;225000
2020-01-09;120R0148;Kaastengels;2;85000;170000
;120R0148;Blueberry Cheese;3;65000;195000
;120R0148;Dimsum Siomay Keju;5;30000;150000
;120R0148;Dimsum Siomay Ayam;7;27000;189000
2020-01-09;120R0149;Pudding Batik;3;120000;360000
;120R0149;Dimsum Siomay Ayam;6;27000;162000
;120R0149;Lavarisol Smoked Beef;3;60000;180000
2020-01-09;120R0150;Dimsum Siomay Udang Keju;5;32000;160000
;120R0150;Lavarisol Triple Cheese;5;60000;300000
;120R0150;Dimsum Siomay Original;4;25000;100000
;120R0150;Dimsum Siomay Keju;1;30000;30000
;120R0150;Dimsum Siomay Crab;2;27000;54000
2020-01-10;120R0151;Pudding Buah;4;100000;400000
;120R0151;Lavarisol Original;1;60000;60000
;120R0151;Dimsum Siomay Crab;7;27000;189000
;120R0151;Dimsum Siomay Udang Keju;2;32000;64000
2020-01-10;120R0152;Dimsum Siomay Udang Keju;1;32000;32000
;120R0152;Brownies Cookies;3;40000;120000
;120R0152;Lavarisol Campur;3;60000;180000
2020-01-10;120R0153;Cookies Hias;2;60000;120000
;120R0153;Dimsum Siomay Original;1;25000;25000
